gene,gene2,ess.curated.model,ess.experimental
SO2339,,yes,no
SO2340,,yes,no
SO2341,,yes,no
SO2342,,yes,no
SO2345,,no,yes
SO2347,,no,no
SO2350,,no,no
SO2361,,no,no
SO2362,,no,no
SO2363,,no,no
SO2364,,no,no
SO2390,,no,no
SO2398,,no,no
SO2403,,no,no
SO2404,,yes,no
SO2406,,no,no
SO2410,,no,yes
SO2413,,no,yes
SO2415,,no,yes
SO2416,,no,yes
SO2421,,no,no
SO2433,,yes,yes
SO2440,,no,no
SO2441,,no,no
SO2442,,no,no
SO2443,,no,no
SO2444,,no,no
SO2445,,no,no
SO2459,,no,no
SO2471,,yes,yes
SO2474,,yes,no
SO2478,,yes,yes
SO2485,,no,no
SO2486,,no,no
SO2487,,no,no
SO2488,,no,no
SO2489,,no,no
SO2491,,no,no
SO2508,,no,yes
SO2509,,no,yes
SO2510,,no,no
SO2511,,no,yes
SO2512,,no,yes
SO2513,,no,yes
SO2524,,no,no
SO2536,,no,no
SO2537,,no,no
SO2563,,no,no
SO2581,,no,no
SO2587,,no,no
SO2592,,no,no
SO2593,,no,no
SO2613,,yes,yes
SO2614,,no,no
SO2615,,no,no
SO2616,,no,no
SO2617,,no,no
SO2619,,yes,yes
SO2629,,no,no
SO2635,,yes,yes
SO2638,,no,no
SO2644,,no,no
SO2646,,no,no
SO2706,,no,no
SO2713,,no,no
SO2719,,no,no
SO2727,,no,no
SO2737,,no,no
SO2739,,no,no
SO2740,,no,yes
SO2741,,no,yes
SO2743,,no,no
SO2745,,no,no
SO2759,,no,no
SO2760,,yes,no
SO2761,,no,no
SO2767,,no,no
SO2771,,no,no
SO2774,,yes,no
SO2776,,yes,yes
SO2777,,yes,yes
SO2778,,no,yes
SO2780,,yes,no
SO2784,,no,no
SO2791,,no,no
SO2801,,yes,yes
SO2831,,no,yes
SO2834,,no,no
SO2836,,no,no
SO2851,,yes,no
SO2853,,no,no
SO2865,,no,no
SO2871,,no,no
SO2879,,no,no
SO2881,,no,yes
SO2886,,no,no
SO2895,,no,yes
SO2899,,no,no
SO2901,,no,no
SO2903,,no,no
SO2911,,no,no
SO2912,,yes,no
SO2913,,yes,no
SO2915,,no,no
SO2916,,no,no
SO2923,,no,no
SO2937,,no,no
SO3019,,no,no
SO3020,,no,no
SO3021,,no,no
SO3022,,no,no
SO3023,,no,no
SO3024,,no,no
SO3057,,no,no
SO3063,,no,no
SO3064,,yes,no
SO3067,,yes,yes
SO3068,,no,no
SO3070,,yes,yes
SO3071,,no,no
SO3072,,yes,yes
SO3077,,no,no
SO3079,,yes,no
SO3099,,no,no
SO3108,,no,no
SO3116,,no,no
SO3130,,yes,no
SO3134,,no,no
SO3135,,no,no
SO3136,,no,no
SO3140,,no,no
SO3154,,yes,yes
SO3160,,no,yes
SO3167,,no,no
SO3173,,no,no
SO3175,,no,no
SO3186,,no,no
SO3188,,no,no
SO3189,,yes,no
SO3190,,no,no
SO3285,,no,no
SO3286,,no,no
SO3287,,yes,no
SO3292,,yes,no
SO3293,,yes,no
SO3311,,yes,yes
SO3312,,no,yes
SO3338,,no,no
SO3348,,no,no
SO3349,,no,no
SO3354,,yes,no
SO3365,,no,no
SO3413,,no,no
SO3414,,no,no
SO3415,,no,no
SO3424,,yes,yes
SO3427,,no,yes
SO3428,,yes,yes
SO3437,,no,yes
SO3438,,no,yes
SO3440,,no,yes
SO3441,,yes,yes
SO3442,,no,no
SO3455,,no,no
SO3463,,no,no
SO3464,,no,yes
SO3466,,yes,yes
SO3467,,no,no
SO3468,,yes,no
SO3469,,yes,yes
SO3471,,no,no
SO3496,,no,no
SO3503,,no,no
SO3505,,no,no
SO3506,,no,no
SO3507,,no,no
SO3509,,no,no
SO3517,,no,no
SO3529,,no,yes
SO3532,,yes,yes
SO3533,,yes,yes
SO3541,,no,no
SO3542,,no,no
SO3546,,no,yes
SO3547,,yes,yes
SO3553,,no,no
SO3554,,yes,no
SO3555,,yes,no
SO3559,,no,no
SO3562,,no,no
SO3575,,no,no
SO3579,,no,no
SO3598,,no,no
SO3599,,no,no
SO3600,,no,no
SO3601,,no,no
SO3602,,no,no
SO3613,,no,no
SO3631,,no,no
SO3638,,no,yes
SO3641,,no,no
SO3646,,yes,yes
SO3652,,yes,yes
SO3653,,no,yes
SO3664,,no,no
SO3683,,no,no
SO3695,,no,no
SO3705,,no,no
SO3706,,no,no
SO3709,,no,no
SO3715,,no,no
SO3723,,no,no
SO3726,,no,no
SO3727,,no,no
SO3728,,no,no
SO3736,,no,no
SO3737,,no,no
SO3738,,no,no
SO3740,,no,no
SO3741,,no,no
SO3745,,yes,no
SO3746,,yes,yes
SO3747,,no,no
SO3763,,yes,no
SO3771,,no,no
SO3774,,no,no
SO3778,,no,no
SO3779,,no,no
SO3780,,no,no
SO3803,,no,no
SO3804,,no,no
SO3817,,no,no
SO3827,,yes,yes
SO3834,,no,yes
SO3836,,no,yes
SO3837,,yes,yes
SO3855,,no,no
SO3863,,no,no
SO3864,,no,no
SO3865,,no,no
SO3916,,yes,no
SO3920,,no,no
SO3921,,no,no
SO3922,,no,no
SO3937,,no,no
SO3948,,yes,yes
SO3957,,yes,yes
SO3966,,no,no
SO3980,,no,no
SO3984,,no,no
SO3986,,no,no
SO3991,,yes,no
SO4004,,no,no
SO4054,,yes,no
SO4055,,no,no
SO4056,,yes,no
SO4060,,no,no
SO4061,,no,no
SO4062,,no,no
SO4066,,yes,no
SO4118,,no,no
SO4120,,yes,no
SO4123,,yes,yes
SO4133,,no,no
SO4136,,no,no
SO4144,,no,no
SO4190,,yes,yes
SO4198,,no,no
SO4199,,no,yes
SO4201,,no,yes
SO4208,,no,no
SO4214,,yes,yes
SO4218,,yes,yes
SO4219,,yes,yes
SO4221,,yes,yes
SO4222,,yes,yes
SO4223,,yes,yes
SO4224,,yes,yes
SO4230,,no,no
SO4232,,no,no
SO4233,,no,no
SO4234,,no,no
SO4235,,no,no
SO4236,,no,no
SO4245,,yes,no
SO4246,,yes,no
SO4249,,yes,yes
SO4250,,no,no
SO4254,,yes,yes
SO4255,,no,no
SO4274,,no,no
SO4281,,no,no
SO4282,,no,no
SO4289,,no,no
SO4290,,no,no
SO4291,,no,no
SO4292,,no,no
SO4296,,no,no
SO4297,,no,no
SO4299,,no,no
SO4308,,yes,yes
SO4309,,yes,no
SO4312,,no,no
SO4313,,no,yes
SO4314,,no,yes
SO4315,,no,no
SO4316,,no,no
SO4335,,no,no
SO4343,,no,no
SO4344,,no,no
SO4345,,no,no
SO4346,,no,no
SO4347,,no,no
SO4349,,no,no
SO4374,,no,no
SO4405,,no,no
